Country,Concept,Data Source,Status,Unit,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kenya,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,107235516142.06,124676197200.08,156929041749.68,163588920556.66,181956792566.58,222634371457.5,255005666394.95,298874219004.4,320762472138.35
Kenya,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,76820052824.65,89326489800.25,115924311906.75,115730514436.45,124283967113.6,147208960141.7,172234200993.8,187737161157.2,209989797227.65
"Korea, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,43248968000000,51869521000000,56398976000000,64846321000000,67779116000000,74545691000000,80055930000000,88341969400000,104262012400000
"Korea, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,26037401000000,27741774000000,29218860000000,30652256000000,37239045000000,43196980000000,48543186000000,54215913400000,63242309400000
Kuwait,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1240365400,1763477600,2063322900,1330346200,2979503300,3804062200,4890907900,5787563000,6831906500
Kuwait,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,684621500,804892100,756701200,869139500,943814500,1006657600,1205104800,1339937400,1481254500
Lesotho,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,734143000,680686000,687176000,718448000,1015994000,1048679000,1049489228.81,1203535761.62,1506303405.83
Lesotho,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,297972000,377711000,402221000,481245000,584244000,637786000,843591571.6,998550113.39,1197971045.16
"Macedonia, FYR",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,28374148422,34017671397.5,41467535918,48035044111.5,51891856106.5,53916831003.5,58879130000,61310060000,58933640563.9649
"Macedonia, FYR",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,15813000000,17732000000,19894000000,20799000000,19482000034.5,20173000000,22767400000,23979300000,25045400390.625
Malaysia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,52622656080.1,58215585758.07,63898650497.77,68512566999.6,54813947874.48,61261319717.74,96339227543.51,105832135660,115825380572.83
Malaysia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,34396578830.2,37894936815.7,42191663812.13,48042559676.13,51137711553.3,55787428576.51,61874039453.74,67124279340.77,73030832546.51
Maldives,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2978145255.37,3423554343.94,4374146092.02,5382377276.98,6143919391.07,6064304281.41,7551312223.93,8181857377.12,9628721865.08
Maldives,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,947190698.64,1160714237.23,1322280108.08,1762192031.06,1799721536.15,1871135780.16,2196674027.01,2475540003.32,3252432252.9
Mauritius,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,23513952791.1948,25321868730.9868,28079062895.2088,30640286402.1687,35931503845.11,44935527259.7802,48280871327.6374,52622930014.16,62350012214.78
Mauritius,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,15144043578.64,16350622985,17698017746.91,19943484388.02,21068826188.4,22591761471.84,24469755843.18,26961314001.82,30127650675.85
Mexico,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,380033690761.98,449821288924.98,494743487177.16,577543078498.579,632032406446.03,693423219496.419,763491879175.45,846019426610.1,917875794234.57
Mexico,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,380033690761.98,449821288924.98,494743457277.16,577542277231.599,631937880298.99,693423114043.649,763490940339.37,845395608067.52,917875174866.77
Moldova,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,7517284550,7389447373,11771752229,14781640718,12934339359.79,14085925083.83,17153968189.71,20531141055.57,26077676429.61
Moldova,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,5148886869,5817191027,7603346529,8732080253,9882542272.75,11105960670.83,12016670256.12,14554213757.26,19040704507.61
Mongolia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,281188182000,381792012000,535047702500,633681979444.44,913415937400,1160376646000,1661596728607.92,2168391933000,3337854739728.75
Mongolia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,191640176000,245058525000,364021247000,407155508000,371777510400,519647017000,713304651000,828392940000,841076512000
Montserrat,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,35009174,36628455,35779127,26868549,33230972,39672756.0478245,61191344.1316942,78132329.9772589,100223078.285518
Montserrat,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,16067627,16668039,17428799,14223193,17797435,18797884.0478245,26326012.5716942,29428133.1572589,22803909.1955177
Morocco,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,140818131824.11,160195251350.91,182333970429.41,191260440333.41,183914534045.73,183119910317.99,193881229931.34,195239699784.88,205097964600
Morocco,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,93505127415.47,114233555854.51,125533678378.39,134771580537.24,143139224475.94,152059445333.61,166252990259.8,172493352240.03,182079841900
Mozambique,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,12184764466,14735945716,17821934405,19220421843,24463943137,31618253182,34311097397,41085978164,47537835337
Mozambique,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,7335779834,8789334116,10942178626,11995942790,16117363102,20446601828,21898663590,26242165996,30351146533
Myanmar,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2074450000000,2655172000000,3393756000000,3708084000000,4665746000000,5700622000000,6671838000000,8366593920000,10050005550000
Myanmar,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1834042000000,2278134000000,2852869000000,3137666000000,3812737000000,4712306000000,5600838000000,6652060670000,7988108810000
Namibia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1372580558.32,1532428507.77,1647687039.29,2350967268.59,2555673072.92,3242267392.6,5507812358.42,4983198507.86,4942286176.35
Namibia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1026846330.65,1151444647.5,1323748522.3,1656564168.35,1704928882.81,1908609173.07,2397481424.54,2772538882.19,3373291608.88
Nepal,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,95835142795,109555820388,121843891764.85,158712490786.83,191596150144.64,203972092888.47,271220937816.23,289818897643.68,381845860857.13
Nepal,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,76289602495,84511659327,95498955600,121431098200,150615928438,158849567462,177136242206,207651088325,252087250308.92
Nicaragua,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,16305211224,18100189630,18728186483,20835948474,27460889699,34313679559,36492727462,35948107897,41303653311
Nicaragua,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,4240523057,5024119254,6610813967,6853873385,7619267022,9931407882,11418489539,13232772959,14410534755
Nigeria,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,765971800000,992959100000,1196696854679.14,1584294260908.4,1696886616085.88,1939376695370.21,2905963991809.22,3705064598775.11,5443028494689.27
Nigeria,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,642376000000,779254200000,955854492825.73,1155566798555.22,1181541928641.52,1378222089589.49,1566046439856.91,1631717157004.27,1776813160087.52
Oman,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,525734000,726754000,1235113739,2061320000,1405866569,2237517628,1826769661,2493624699,2652367427
Oman,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,459453000,560616000,663063257,780620000,773287803,913361459,1037339499,1178810701,1342693131
Pakistan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,980694000000,1186963000000,1362666000000,1447894627000,1650643127000,1924904101000,2068947543000,2415684447000,2708665535086.45
Pakistan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,769617000000,917809000000,1070960000000,1205289441000,1368143716000,1595121558000,1694829221000,1958437054000,2212091526000
Papua New Guinea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,935385592.25,1138197941.06,1841613075.98,1620086182.92,1813547021.47,2015652600,3258718466.58,3833675902.15,3853003837.95
Papua New Guinea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,605873261.13,692869549.79,822506791.08,850409939.17,1002341094.07,1192711400,1532446611.17,1679329193.19,1749226167.73
Paraguay,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,5995777016785,6471628891256.7,8638279692403,9886098264832,12887607848881,13342424285197.9,15884964873882.8,17472048774403.2,18520472301604.8
Paraguay,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2924898389523,3371322865382,4326096226746,4973923360434,5537798701064,6563533782146,7324268166450,8606190445173,9743949676383
Philippines,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,467585817098.39,719033255650.98,848784896489.41,961465726586.35,1047927912819.66,1120545993258.12,1323000417875.2,1475632893961.13,1926202107797.39
Philippines,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,336557505826.8,384491615644.21,433854411737.09,545094930197.43,582532888429.71,601274828072.24,648910932721.13,692657077379.42,797451937452.86
Qatar,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,8251100000,10147400000,30634200000,23618500000,45903300000,91808600000,31185700000,45555100000,44038847000
Qatar,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,3531000000,5069800000,5624500000,6912800000,7191400000,7974300000,9092300000,10975700000,12340440000
Romania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,22211953000,34580253000,48872484255,50467908764,51661837676,55103444409,61565582218,57307888941,68665955884
Romania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,12732209000,17356619000,25444669282,29047790566,27501250575,29936998379,34226163237,36011896012,40316705622
Russian Federation,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2914300000000,4122400000000,5513400000000,5578700000000,6467300000000,8190400000000,8644100000000,9852800000000,10503900000000
Russian Federation,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2195400000000,3062100000000,4118600000000,4372100000000,4622900000000,5785200000000,6895800000000,7667700000000,8307500000000
Samoa,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,97960000,95802000,120835000,132789000,208940000,236323000,162013000,168066000,204374000
Samoa,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,62950000,67905000,70884000,67853000,70012000,77073000,86133000,93014000,95552000
Sao Tome and Principe,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,210634625000,303031788799.95,417118578145.6,495795199613.44,606230891030.85,558054091521.49,554049326180.12,712469233690.83,921725448343.51
Sao Tome and Principe,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,81102560000,102703521966,126238741640,140505444148.5,167436930384.5,190713852706,203577447729,217070522251,226475709251
"Serbia, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,249117900000,400068000000,440708500000,517646300000,539172000000,542227200000,614980000000,632159000000,650929000000
"Serbia, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,60703200000,78666700000,92613500000,108817900000,112924900000,109626700000,132400900000,136106500000,148791000000
Seychelles,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1091374841.95,1448123423.06,1113053320.58,1119912647.96,1295895195.69,1746172218.86,1698682417.75,1816425685.06,2095973737.77
Seychelles,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,344842830.49,417159151.31,450609571.15,477573318.04,555010580.4,653864355.62,707770706.01,739709860.54,899620633.79
Sierra Leone,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,290616818642,321643041781.03,383670519494.68,443281702170.02,537219341818.82,724111209029.56,815402537734.53,995475009123.17,1164661638310.17
Sierra Leone,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,255078319066.73,294682062323.2,333324123162.41,383298723846.3,486437843123.89,631511569934.85,707501437745.95,902941103455.23,907433336881.71
Solomon Islands,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,452456000,481219764.84,451701134.3,440637594.59,717186237.11,1263290327.86,1659487632.88,2054418696.53,2033546846.39
Solomon Islands,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,156657000,187199846.13,244545147.03,272544029.06,326063085.62,436414497.07,526445965.89,599212491.43,602515553.74
South Africa,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,79553567000,95948106000,110028797938.1,119559837920.5,124291849876.7,135853455425.3,156550889838.2,174103075988.6,191139422877.9
South Africa,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,54236646000,63575190000,68195650152.2,72696692073.6,77679058806,82500833636.6,101394021954.1,112169015681.2,119056731578.8
South Sudan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,,,,,,,4749659820.53,5115893134.49,5040378705.67
South Sudan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,,,,,,,2115394757.04,2184933173.59,2242988567.95
St. Kitts and Nevis,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,193467612,240683573,259407260,274395916,344778417,420509820.532127,577238363.619871,553471120.37895,647419956.87179
St. Kitts and Nevis,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,65778597,78259910,83568774,96100134,102212382,124735837.532127,125491102.239871,135312000.37895,162768425.16179
St. Lucia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,298346532,337158999,365071180,384710289,403424206,442487411.252451,459866232.850353,525646712.191437,483640355.933239
St. Lucia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,161719694,179268972,187131505,211846913,198138111,212166374.252451,237640834.280353,246656741.091437,239328303.873239
St. Vincent and the Grenadines,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,172994245,194907830,231423182,227343626,184608715,282059276.197378,241595866.690526,275554723.657682,346734193.714468
St. Vincent and the Grenadines,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,103980611,101399421,121349839,115487387,89655601,74901812.1973784,74822109.7405256,80530560.1576825,76981362.1544678
Sudan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,6409951600,7818557900,8848937390,10845468530,13909368730,16570207320,21067480110,30445351540,36497707760
Sudan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,3982418200,5670777400,6221785980,7339146700,8832353210,10897238930,13660175160,17869905150,20412898000
Suriname,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,570104274.43,759818499.38,992618780.68,1110765250,1461323168.24,1662951157.13,1795054025.46,2416978947.32,2401512469.06
Suriname,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,321960251.94,388838437.41,472413066.27,566815680,669702634.7,789355822.52,815921264.55,976732610,1026797315
Swaziland,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,496518114.13,566511866.45,758502691.22,943539151.81,1305052400,1171318989.66,1781202510.09,1794273723.51,1901240840.24
Swaziland,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,341209545.63,378509297.47,407939307,416187532.86,507655700,563521577.79,540898330.91,642781456.89,732712591.99
Syrian Arab Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,509241000000,558545270000,648705698172.233,763771143397.76,870315105081.086,931045300494.155,,,
Syrian Arab Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,407373000000,411394390000,441376730805,492718770977,520316418413.15,577059780109,,,
Tajikistan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,817602625,1017437878,1437859618,1862004316.85,2589703671.25,2992937592.86,3828900196.38,4534253843.68,5362955160.66
Tajikistan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,711497014,880132634,1115536605,1565925258,2041265343,2421353901,2988267362,3667249937,4485446318.02
Tanzania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1284685414656.13,1504124464037.49,1879047641492.48,2276437087484.2,3009062304973.13,3497849763866.87,4111917060018.46,4525589692729,5027783559600.85
Tanzania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,981420092755.6,1162877072406.97,1354603834567.08,1710160622172.99,1896843251777.91,2298635010850.4,2694169502212.75,2909997773560.96,3324794598266.2
Thailand,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,816012384899.93,833997031328.15,899242177134.3,1002171317834.53,1063962460841.16,1201170308818.84,1319515906043.81,1447826965095.43,1528078486203.34
Thailand,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,753251652154.36,773842245208.27,842623890391.88,923967010119.35,1005884096770.16,1114517516059.49,1248569458899.77,1350931870465.83,1425282497226.87
"Timor-Leste, Dem. Rep. of",Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Units,6311795,8205973.35,20271125.61,25527334.45,56252514.24,54760500,34487215.73,99892230.67,85542272.45
"Timor-Leste, Dem. Rep. of",Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Units,1789993,1810789.39,2272696.52,2453651.18,2801104.28,3373800,3863421.69,4768848.47,6758591.15
Tonga,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,62578574,70370383,81234468,79868520,102431140,118175535,157134448,191070657.275,198033242.84
Tonga,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,25659380,27860210,32306873,31660874,33956738,35759682,39736451,44899081.32,47948571.72
Trinidad and Tobago,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,8610079138.29,9956878331.51,11177641020.18,15897977016.45,21996920467.05,24870618456.57,28795903236.19,33735406362.55,36852945742.79
Trinidad and Tobago,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,2991446536.75,3560421971.07,4205380823.68,4486326781.09,4856186343.68,5300606105.49,5938744004.93,6648311055.35,7422099978.39
Turkey,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,47628066547.79,61114412152.01,66626362630,85138280000,85928747937.69,105261787838.04,146442991309,190104468700,263510270400
Turkey,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,19612018800,26815150600,27429388900,31743430000,38340278100,48937559900,55103173600,60525482100,74814590000
Uganda,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1051212874311,1226598927999,1543533839495,1926960890525,2181520200386,2878521807869,3301305175160,3976335476725,4032414825673
Uganda,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,832735021790,1026340281185,1199976412060,1487710321437,1595249361945,2103786046337,2487282601297,2683767933816,2832083954137
Ukraine,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,82759690614.17,97214160085.85,141901074053.33,186670886476.38,194965273874.5,225691788638.57,239884842839.16,255283380549.6,307138768968.51
Ukraine,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,65409134776.44,82133325172.23,122470436542.13,167537988918.02,170535842640.68,200092487784.25,209565083086.53,222785684082.26,261870284750.7
United States,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Units,779545000000,802676000000,814288000000,1683205000000,1941723000000,1969966000000,2674653000000,2679994000000,3713665000000
United States,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Units,758358000000,783019000000,791691000000,849716000000,889678000000,943749000000,1034520000000,1124578000000,1195201000000
Uruguay,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,24589920656.46,27111714569.3,31548181046.83,40788252931.08,43425723743.14,50481626149.06,59219021376.7868,75033821822.6973,84740857397.7818
Uruguay,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,17285034273.88,22064652421.76,24617298203.05,28262631108.92,31980090005.15,38163896623.93,45188736725,52876503252,59524336940
Vanuatu,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,5933656000,7918565000,8805837000,9277429000,9420871630,11156674655,11880800615,12992102068,15327962595
Vanuatu,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,3374576000,3898192000,4688158000,5004102000,5281733649,5873221293,6572077505,6962460436,6935647621
"Venezuela, Republica Bolivariana de",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,23344328000,44317534164.818,65608736407.0584,83885696195.08,104407654353.33,128448225969,192748563965.98,275578223968.66,461147785683.46
"Venezuela, Republica Bolivariana de",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,10776693000,15489977848.586,20568791604.233,28317633464.1,36411766341.28,46470230727.7,58675653120.87,92903665838.31,147253452224.43
West Bank and Gaza,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Units,539550000,492598633.91,685174361.61,1089572300,1188570366.8,1055122159.05,919089072.96,994438932.87,997257162.2
West Bank and Gaza,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Units,0,0,0,0,0,0,0,0,0
Zambia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2280756887.65763,3249130481.1823,3554929115.96285,4605642465.31,4714896254.78599,7147964911.83321,5531676700,8377771822.34582,10145307178.68
Zambia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,961954080.49635,1224167947.81688,1513404348.26457,1931859358.49,1999080239.64318,2747920288.19626,3405670100,3839631434.34558,4596962982.45
Eastern Caribbean Currency Union,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1550659723.38,1743640798,1900276417,1847500615,1909779129,2172854268.72,2459871751,2622388639,2937740663.14
Eastern Caribbean Currency Union,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,732828277.64,783314431,842090050,878283115,835549461,833877453.82,875978652,895496127,925646031.44