Country,Concept,Unit,Data Source,Status,Scale,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Afghanistan, Islamic Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Albania,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Algeria,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,37984489000,131222713000,132006253000,167372237012.31,194196671000,265371900000,322631646000,518704699000,758686675384.33,860187269865.33
Angola,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,,,,,0,0,0,0
Angola,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,,,,,,,,,,8.25
Anguilla,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Armenia, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Armenia, Republic of","Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.20861632104455,5.18325,5.856925,6.562225,8.32171227463082,11.8599542551728,13.8827399559478,13.8,14.3012166916667,13.2034138827596
Australia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Australia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.59077450749734,5.33997311398556,5.5878722441858,5.99452083739212,5.81794393964159,5.03951184202271,5.36604166666667,4.87958333333334,3.37916666666667,3.69666666666667
Austria,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.13083333333333,3.39416666666667,3.8,4.2975,4.35833333333333,3.93666666666667,3.22583333333333,3.31916666666666,2.3725,2.01
"Azerbaijan, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Bangladesh,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,3541000000,3823000000,4075000000,4569000000,4672000000,4975000000,5632000000,6714000000,7312000000,7677000000
Barbados,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,,,,
Belarus,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Belgium,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.1525,3.42833333333333,3.815,4.32833333333333,4.4175,3.90166666666667,3.4625,4.23333333333333,3,2.41
Belize,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Bhutan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Bolivia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Botswana,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Botswana,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.0666666666667,9.49,11.5963916666667,10.7344416666667,10.1891666666667,8.62895833333334,7.68729166666667,7.435,5.665,5.013
Brazil,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Bulgaria,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.36,3.87416666666667,4.18333333333333,4.53916666666667,5.37666666666667,7.215,6.00446666666667,5.35684166666667,4.49741666666667,3.4729
Burundi,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Cambodia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Cameroon,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Canada,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,,,,,
Canada,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.08083333333333,4.38583333333333,4.29916666666667,4.335,4.04,3.89083333333333,3.6575,3.21416666666667,2.33166666666667,2.71833333333333
Central African Republic,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Chad,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Chile,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"China, P.R.: Macao",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,220669000,240704000,265054000,285642000,317936000,328601000,337270000,363067000,395847000,430582000
Colombia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Comoros,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Congo, Democratic Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Congo, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Costa Rica,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Croatia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,
Cyprus,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.7975,5.16166666666667,4.13416666666667,4.475,4.6,4.6,4.6,5.7875,7,6.5
Czech Republic,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.05,3.61,3.68,4.65,4.3,3.98,3.889,3.7,2.12413376624612,2.2029185806444
Denmark,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.305,3.40416666666667,3.81166666666667,4.28583333333333,4.28166666666667,3.5875,2.9275,2.73058333333333,1.40333333333333,1.74583333333333
Dominica,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Ecuador,Currency Issued by Central Government,US Dollars,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Egypt,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,222700000,230100000,252597000,270434000,282200000,297145000,314392000,339480000,364965000,390172000
El Salvador,Currency Issued by Central Government,US Dollars,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Eritrea,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,,
Estonia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.38833333333333,3.9825,4.30333333333333,5.62833333333333,8.16416666666667,7.77833333333333,5.96833333333333,,,
Ethiopia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.91488095238095,3.97619047619048,4,4,4,,,,,
Euro Area,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.14079166666667,3.440875,3.85951666666667,4.33176666666667,4.35503333333333,4.0301,3.784725,4.31229166666667,3.05313333333333,3.01336666666667
Fiji,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Fiji,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.55,2.74,5.75,6.87,5.91207925636008,8.13,,,4,4
Finland,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.11,3.35166666666667,3.78333333333333,4.29254542557714,4.28973224815167,3.73884547340849,3.01290969807589,3.00587516233766,1.88419111896212,1.8617702625993
France,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.09833333333333,3.41,3.79666666666667,4.30416666666667,4.23416666666667,3.64919166666667,3.1171,3.32121666666667,2.53618333333333,2.20378333333333
Gabon,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Gambia, The",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Georgia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Germany,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.03666666666667,3.35333333333333,3.7625,4.21666666666667,3.98416666666667,3.2225,2.74333333333333,2.60666666666667,1.495,1.57
Ghana,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Ghana,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,21.5,20.5375,16.4222222222222,12.7063888888889,14.8883333333333,,,13.425,20.4141666666667,18.4033333333333
Greece,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.25583333333333,3.585,4.07,4.5,4.8025,5.17416666666667,9.09166666666666,15.7491666666667,22.4983333333333,10.0541666666667
Grenada,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Guatemala,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Guyana,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Haiti,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,,,0,0,0,0,0,0,0,0
Honduras,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Honduras,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.6716666666667,11.3158333333333,7.867375,7.69901666666667,,,,,,
Hungary,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.18916666666667,6.59916666666667,7.11583333333333,6.74416666666667,8.23833333333333,9.12333333333332,7.282125,7.63515833333333,7.89083333333333,5.92333333333333
Iceland,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Iceland,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.879423105,3.73029353333333,4.3173818525,4.96211657,4.300186665,4.29952465416667,3.49332216083333,2.94615757,2.27898126666667,2.55166666666667
Indonesia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Iraq,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,
Ireland,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.07666666666667,3.32916666666667,3.765,4.30583333333333,4.52583333333333,5.225,5.73916666666667,9.60166666666667,6.17166666666667,3.79
Italy,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.25833333333333,3.55583333333333,4.0475,4.48731583333333,4.68114916666667,4.31333333333333,4.03583333333334,5.42416666666667,5.4925,4.31666666666667
Jamaica,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Japan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Japan,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.49916666666667,1.35958333333333,1.73125,1.65291666666667,1.44916666666667,1.3425,1.15083333333333,1.11833333333333,0.839166666666667,0.700416666666667
Kazakhstan,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Kenya,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of","Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.45333333333333,4.6625,5.06583333333333,5.42916666666667,5.79083333333333,5.10083333333333,4.58583333333333,4.10583333333333,3.43333333333333,3.16483333333333
Kuwait,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Latvia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.8575,3.875,4.13333333333333,5.2825,6.43166666666667,12.3475,10.3366666666667,5.9075,4.565,3.34
Lesotho,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Lithuania,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.5025,3.69833333333333,4.08083333333333,4.54583333333333,5.6075,14.0041666666667,5.56666666666667,5.16,4.83083333333333,3.83178571428571
Luxembourg,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.84416666666667,2.41416666666667,3.30333333333333,4.46083333333333,4.6075,4.22916666666667,3.1675,2.92333333333333,1.75333333333333,1.74416666666667
